note_id,subsystem,concern,expected_behaviour,confidence,action,urgency
NOTE_0080,System,,Yes,High,,Nominal
NOTE_0081,System,,Yes,High,,Nominal
NOTE_0082,EPS,,Yes,High,,Nominal
NOTE_0083,TT&C,,Yes,High,,Nominal
NOTE_0084,TT&C,,Yes,High,,Nominal
NOTE_0085,EPS,,Yes,High,,Nominal
NOTE_0086,System,,Yes,High,,Nominal
NOTE_0087,System,,Yes,High,,Nominal
NOTE_0088,EPS,,Yes,High,,Nominal
NOTE_0089,TT&C,,Yes,High,,Nominal
NOTE_0090,TT&C,,Yes,High,,Nominal
NOTE_0091,EPS,,Yes,High,,Nominal
NOTE_0092,System,,Yes,High,,Nominal
NOTE_0093,System,,Yes,High,,Nominal
NOTE_0094,EPS,,Yes,High,,Nominal
NOTE_0095,TT&C,,Yes,High,,Nominal
NOTE_0096,TT&C,,Yes,High,,Nominal
NOTE_0097,EPS,,Yes,High,,Nominal
NOTE_0098,System,,Yes,High,,Nominal
NOTE_0099,System,,Yes,High,,Nominal
NOTE_0100,EPS,,Yes,High,,Nominal
NOTE_0101,TT&C,,Yes,High,,Nominal
NOTE_0102,TT&C,,Yes,High,,Nominal
NOTE_0103,EPS,,Yes,High,,Nominal
NOTE_0104,System,,Yes,High,,Nominal
NOTE_0105,System,,Yes,High,,Nominal
NOTE_0106,EPS,,Yes,High,,Nominal
NOTE_0107,TT&C,,Yes,High,,Nominal
NOTE_0108,TT&C,,Yes,High,,Nominal
NOTE_0109,EPS,,Yes,High,,Nominal
NOTE_0110,System,,Yes,High,,Nominal
NOTE_0111,System,,Yes,High,,Nominal
NOTE_0112,EPS,,Yes,High,,Nominal
NOTE_0113,TT&C,,Yes,High,,Nominal
NOTE_0114,TT&C,,Yes,High,,Nominal
NOTE_0115,EPS,,Yes,High,,Nominal
NOTE_0116,System,,Yes,High,,Nominal
NOTE_0117,System,,Yes,High,,Nominal
NOTE_0118,EPS,,Yes,High,,Nominal
NOTE_0119,TT&C,,Yes,High,,Nominal
NOTE_0120,TT&C,,Yes,High,,Nominal
NOTE_0121,EPS,,Yes,High,,Nominal
NOTE_0122,System,,Yes,High,,Nominal
NOTE_0123,System,,Yes,High,,Nominal
NOTE_0124,EPS,,Yes,High,,Nominal
NOTE_0125,TT&C,,Yes,High,,Nominal
NOTE_0126,TT&C,,Yes,High,,Nominal
NOTE_0127,EPS,,Yes,High,,Nominal
NOTE_0128,System,,Yes,High,,Nominal
NOTE_0129,System,,Yes,High,,Nominal
NOTE_0130,EPS,,Yes,High,,Nominal
NOTE_0131,TT&C,,Yes,High,,Nominal
NOTE_0132,TT&C,,Yes,High,,Nominal
NOTE_0133,EPS,,Yes,High,,Nominal
NOTE_0134,System,,Yes,High,,Nominal
NOTE_0135,System,,Yes,High,,Nominal
NOTE_0136,EPS,,Yes,High,,Nominal
NOTE_0137,TT&C,,Yes,High,,Nominal
NOTE_0138,TT&C,,Yes,High,,Nominal
NOTE_0139,EPS,,Yes,High,,Nominal
NOTE_0140,System,,Yes,High,,Nominal
NOTE_0141,System,,Yes,High,,Nominal
NOTE_0142,EPS,,Yes,High,,Nominal
NOTE_0143,TT&C,,Yes,High,,Nominal
NOTE_0144,TT&C,,Yes,High,,Nominal
NOTE_0145,EPS,,Yes,High,,Nominal
NOTE_0146,System,,Yes,High,,Nominal
NOTE_0147,System,,Yes,High,,Nominal
NOTE_0148,EPS,,Yes,High,,Nominal
NOTE_0149,TT&C,,Yes,High,,Nominal
NOTE_0150,TT&C,,Yes,High,,Nominal
NOTE_0151,EPS,,Yes,High,,Nominal
NOTE_0152,System,,Yes,High,,Nominal
NOTE_0153,System,,Yes,High,,Nominal
NOTE_0154,EPS,,Yes,High,,Nominal
NOTE_0155,TT&C,,Yes,High,,Nominal
NOTE_0156,TT&C,,Yes,High,,Nominal
NOTE_0157,EPS,,Yes,High,,Nominal
NOTE_0158,System,,Yes,High,,Nominal
NOTE_0159,System,,Yes,High,,Nominal
NOTE_0160,EPS,,Yes,High,,Nominal
NOTE_0161,TT&C,,Yes,High,,Nominal
NOTE_0162,TT&C,,Yes,High,,Nominal
NOTE_0163,EPS,,Yes,High,,Nominal
NOTE_0164,System,,Yes,High,,Nominal
NOTE_0165,System,,Yes,High,,Nominal
NOTE_0166,EPS,,Yes,High,,Nominal
NOTE_0167,TT&C,,Yes,High,,Nominal
NOTE_0168,TT&C,,Yes,High,,Nominal
NOTE_0169,EPS,,Yes,High,,Nominal
NOTE_0170,System,,Yes,High,,Nominal
NOTE_0171,System,,Yes,High,,Nominal
NOTE_0172,EPS,,Yes,High,,Nominal
NOTE_0173,TT&C,,Yes,High,,Nominal
NOTE_0174,TT&C,,Yes,High,,Nominal
NOTE_0175,EPS,,Yes,High,,Nominal
NOTE_0176,System,,Yes,High,,Nominal
NOTE_0177,System,,Yes,High,,Nominal
NOTE_0178,EPS,,Yes,High,,Nominal
NOTE_0179,TT&C,,Yes,High,,Nominal
NOTE_0180,TT&C,,Yes,High,,Nominal
NOTE_0181,EPS,,Yes,High,,Nominal
NOTE_0182,System,,Yes,High,,Nominal
NOTE_0183,System,,Yes,High,,Nominal
NOTE_0184,EPS,,Yes,High,,Nominal
NOTE_0185,TT&C,,Yes,High,,Nominal
NOTE_0186,TT&C,,Yes,High,,Nominal
NOTE_0187,EPS,,Yes,High,,Nominal
NOTE_0188,System,,Yes,High,,Nominal
NOTE_0189,System,,Yes,High,,Nominal
NOTE_0190,EPS,,Yes,High,,Nominal
NOTE_0191,TT&C,,Yes,High,,Nominal
NOTE_0192,TT&C,,Yes,High,,Nominal
NOTE_0193,EPS,,Yes,High,,Nominal
NOTE_0194,System,,Yes,High,,Nominal
NOTE_0195,System,,Yes,High,,Nominal
NOTE_0196,EPS,,Yes,High,,Nominal
NOTE_0197,TT&C,,Yes,High,,Nominal
NOTE_0198,TT&C,,Yes,High,,Nominal
NOTE_0199,EPS,,Yes,High,,Nominal
NOTE_0200,System,,Yes,High,,Nominal
NOTE_0201,System,,Yes,High,,Nominal
NOTE_0202,EPS,,Yes,High,,Nominal
NOTE_0203,TT&C,,Yes,High,,Nominal
NOTE_0204,TT&C,,Yes,High,,Nominal
NOTE_0205,EPS,,Yes,High,,Nominal
NOTE_0206,System,,Yes,High,,Nominal
NOTE_0207,System,,Yes,High,,Nominal
NOTE_0208,EPS,,Yes,High,,Nominal
NOTE_0209,TT&C,,Yes,High,,Nominal
NOTE_0210,TT&C,,Yes,High,,Nominal
NOTE_0211,EPS,,Yes,High,,Nominal
NOTE_0212,System,,Yes,High,,Nominal
NOTE_0213,System,,Yes,High,,Nominal
NOTE_0214,EPS,,Yes,High,,Nominal
NOTE_0215,TT&C,,Yes,High,,Nominal
NOTE_0216,TT&C,,Yes,High,,Nominal
NOTE_0217,EPS,,Yes,High,,Nominal
NOTE_0218,System,,Yes,High,,Nominal
NOTE_0219,System,,Yes,High,,Nominal
NOTE_0220,EPS,,Yes,High,,Nominal
NOTE_0221,TT&C,,Yes,High,,Nominal
NOTE_0222,TT&C,,Yes,High,,Nominal
NOTE_0223,EPS,,Yes,High,,Nominal
NOTE_0224,System,,Yes,High,,Nominal
NOTE_0225,System,,Yes,High,,Nominal
NOTE_0226,EPS,,Yes,High,,Nominal
NOTE_0227,TT&C,,Yes,High,,Nominal
NOTE_0228,TT&C,,Yes,High,,Nominal
NOTE_0229,EPS,,Yes,High,,Nominal
NOTE_0230,System,,Yes,High,,Nominal
NOTE_0231,System,,Yes,High,,Nominal
NOTE_0232,EPS,,Yes,High,,Nominal
NOTE_0233,TT&C,,Yes,High,,Nominal
NOTE_0234,TT&C,,Yes,High,,Nominal
NOTE_0235,EPS,,Yes,High,,Nominal
NOTE_0236,System,,Yes,High,,Nominal
NOTE_0237,System,,Yes,High,,Nominal
NOTE_0238,EPS,,Yes,High,,Nominal
NOTE_0239,TT&C,,Yes,High,,Nominal
NOTE_0240,TT&C,,Yes,High,,Nominal
NOTE_0241,EPS,,Yes,High,,Nominal
NOTE_0242,System,,Yes,High,,Nominal
NOTE_0243,System,,Yes,High,,Nominal
NOTE_0244,EPS,,Yes,High,,Nominal
NOTE_0245,TT&C,,Yes,High,,Nominal
NOTE_0246,TT&C,,Yes,High,,Nominal
NOTE_0247,EPS,,Yes,High,,Nominal
NOTE_0248,System,,Yes,High,,Nominal
NOTE_0249,System,,Yes,High,,Nominal
NOTE_0250,EPS,,Yes,High,,Nominal
NOTE_0251,TT&C,,Yes,High,,Nominal
NOTE_0252,TT&C,,Yes,High,,Nominal
NOTE_0253,EPS,,Yes,High,,Nominal
NOTE_0254,System,,Yes,High,,Nominal
NOTE_0255,System,,Yes,High,,Nominal
NOTE_0256,EPS,,Yes,High,,Nominal
NOTE_0257,TT&C,,Yes,High,,Nominal
NOTE_0258,TT&C,,Yes,High,,Nominal
NOTE_0259,EPS,,Yes,High,,Nominal
NOTE_0260,System,,Yes,High,,Nominal
NOTE_0261,System,,Yes,High,,Nominal
NOTE_0262,EPS,,Yes,High,,Nominal
NOTE_0263,TT&C,,Yes,High,,Nominal
NOTE_0264,TT&C,,Yes,High,,Nominal
NOTE_0265,EPS,,Yes,High,,Nominal
NOTE_0266,System,,Yes,High,,Nominal
NOTE_0267,System,,Yes,High,,Nominal
NOTE_0268,EPS,,Yes,High,,Nominal
NOTE_0269,TT&C,,Yes,High,,Nominal
NOTE_0270,TT&C,,Yes,High,,Nominal
NOTE_0271,EPS,,Yes,High,,Nominal
NOTE_0272,System,,Yes,High,,Nominal
NOTE_0273,System,,Yes,High,,Nominal
NOTE_0274,EPS,,Yes,High,,Nominal
NOTE_0275,TT&C,,Yes,High,,Nominal
NOTE_0276,TT&C,,Yes,High,,Nominal
NOTE_0277,EPS,,Yes,High,,Nominal
NOTE_0278,System,,Yes,High,,Nominal
NOTE_0279,System,,Yes,High,,Nominal
NOTE_0280,EPS,,Yes,High,,Nominal
NOTE_0281,TT&C,,Yes,High,,Nominal
NOTE_0282,TT&C,,Yes,High,,Nominal
NOTE_0283,EPS,,Yes,High,,Nominal
NOTE_0284,System,,Yes,High,,Nominal
NOTE_0285,System,,Yes,High,,Nominal
NOTE_0286,EPS,,Yes,High,,Nominal
NOTE_0287,TT&C,,Yes,High,,Nominal
NOTE_0288,TT&C,,Yes,High,,Nominal
NOTE_0289,EPS,,Yes,High,,Nominal
NOTE_0290,System,,Yes,High,,Nominal
NOTE_0291,System,,Yes,High,,Nominal
NOTE_0292,EPS,,Yes,High,,Nominal
NOTE_0293,TT&C,,Yes,High,,Nominal
NOTE_0294,TT&C,,Yes,High,,Nominal
NOTE_0295,EPS,,Yes,High,,Nominal
NOTE_0296,System,,Yes,High,,Nominal
NOTE_0297,System,,Yes,High,,Nominal
NOTE_0298,EPS,,Yes,High,,Nominal
NOTE_0299,TT&C,,Yes,High,,Nominal
NOTE_0300,TT&C,,Yes,High,,Nominal
NOTE_0301,EPS,,Yes,High,,Nominal
NOTE_0302,System,,Yes,High,,Nominal
NOTE_0303,System,,Yes,High,,Nominal
NOTE_0304,EPS,,Yes,High,,Nominal
NOTE_0305,TT&C,,Yes,High,,Nominal
NOTE_0306,TT&C,,Yes,High,,Nominal
NOTE_0307,EPS,,Yes,High,,Nominal
NOTE_0308,System,,Yes,High,,Nominal
NOTE_0309,System,,Yes,High,,Nominal
NOTE_0310,EPS,,Yes,High,,Nominal
NOTE_0311,TT&C,,Yes,High,,Nominal
NOTE_0312,TT&C,,Yes,High,,Nominal
NOTE_0313,EPS,,Yes,High,,Nominal
NOTE_0314,System,,Yes,High,,Nominal
NOTE_0315,System,,Yes,High,,Nominal
NOTE_0316,EPS,,Yes,High,,Nominal
NOTE_0317,TT&C,,Yes,High,,Nominal
NOTE_0318,TT&C,,Yes,High,,Nominal
NOTE_0319,EPS,,Yes,High,,Nominal
NOTE_0320,System,,Yes,High,,Nominal
NOTE_0321,System,,Yes,High,,Nominal
NOTE_0322,EPS,,Yes,High,,Nominal
NOTE_0323,TT&C,,Yes,High,,Nominal
NOTE_0324,TT&C,,Yes,High,,Nominal
NOTE_0325,EPS,,Yes,High,,Nominal
NOTE_0326,System,,Yes,High,,Nominal
NOTE_0327,System,,Yes,High,,Nominal
NOTE_0328,EPS,,Yes,High,,Nominal
NOTE_0329,TT&C,,Yes,High,,Nominal
NOTE_0330,TT&C,,Yes,High,,Nominal
NOTE_0331,EPS,,Yes,High,,Nominal
NOTE_0332,System,,Yes,High,,Nominal
NOTE_0333,System,,Yes,High,,Nominal
NOTE_0334,EPS,,Yes,High,,Nominal
NOTE_0335,TT&C,,Yes,High,,Nominal
NOTE_0336,TT&C,,Yes,High,,Nominal
NOTE_0337,EPS,,Yes,High,,Nominal
NOTE_0338,System,,Yes,High,,Nominal
NOTE_0339,System,,Yes,High,,Nominal
NOTE_0340,EPS,,Yes,High,,Nominal
NOTE_0341,TT&C,,Yes,High,,Nominal
NOTE_0342,TT&C,,Yes,High,,Nominal
NOTE_0343,EPS,,Yes,High,,Nominal
NOTE_0344,System,,Yes,High,,Nominal
NOTE_0345,System,,Yes,High,,Nominal
NOTE_0346,EPS,,Yes,High,,Nominal
NOTE_0347,TT&C,,Yes,High,,Nominal
NOTE_0348,TT&C,,Yes,High,,Nominal
NOTE_0349,EPS,,Yes,High,,Nominal
NOTE_0350,System,,Yes,High,,Nominal
NOTE_0351,System,,Yes,High,,Nominal
NOTE_0352,EPS,,Yes,High,,Nominal
NOTE_0353,TT&C,,Yes,High,,Nominal
NOTE_0354,TT&C,,Yes,High,,Nominal
NOTE_0355,EPS,,Yes,High,,Nominal
NOTE_0356,System,,Yes,High,,Nominal
NOTE_0357,System,,Yes,High,,Nominal
NOTE_0358,EPS,,Yes,High,,Nominal
NOTE_0359,TT&C,,Yes,High,,Nominal
NOTE_0360,TT&C,,Yes,High,,Nominal
NOTE_0361,EPS,,Yes,High,,Nominal
NOTE_0362,System,,Yes,High,,Nominal
NOTE_0363,System,,Yes,High,,Nominal
NOTE_0364,EPS,,Yes,High,,Nominal
NOTE_0365,TT&C,,Yes,High,,Nominal
NOTE_0366,TT&C,,Yes,High,,Nominal
NOTE_0367,EPS,,Yes,High,,Nominal
NOTE_0368,System,,Yes,High,,Nominal
NOTE_0369,System,,Yes,High,,Nominal
NOTE_0370,EPS,,Yes,High,,Nominal
NOTE_0371,TT&C,,Yes,High,,Nominal
NOTE_0372,TT&C,,Yes,High,,Nominal
NOTE_0373,EPS,,Yes,High,,Nominal
NOTE_0374,System,,Yes,High,,Nominal
NOTE_0375,System,,Yes,High,,Nominal
NOTE_0376,EPS,,Yes,High,,Nominal
NOTE_0377,TT&C,,Yes,High,,Nominal
NOTE_0378,TT&C,,Yes,High,,Nominal
NOTE_0379,EPS,,Yes,High,,Nominal
NOTE_0380,System,,Yes,High,,Nominal
NOTE_0381,System,,Yes,High,,Nominal
NOTE_0382,EPS,,Yes,High,,Nominal
NOTE_0383,TT&C,,Yes,High,,Nominal
NOTE_0384,TT&C,,Yes,High,,Nominal
NOTE_0385,EPS,,Yes,High,,Nominal
NOTE_0386,System,,Yes,High,,Nominal
NOTE_0387,System,,Yes,High,,Nominal
NOTE_0388,EPS,,Yes,High,,Nominal
NOTE_0389,TT&C,,Yes,High,,Nominal
NOTE_0390,TT&C,,Yes,High,,Nominal
NOTE_0391,EPS,,Yes,High,,Nominal
NOTE_0392,System,,Yes,High,,Nominal
NOTE_0393,System,,Yes,High,,Nominal
NOTE_0394,EPS,,Yes,High,,Nominal
NOTE_0395,TT&C,,Yes,High,,Nominal
NOTE_0396,TT&C,,Yes,High,,Nominal
NOTE_0397,EPS,,Yes,High,,Nominal
NOTE_0398,System,,Yes,High,,Nominal
NOTE_0399,System,,Yes,High,,Nominal
NOTE_0400,EPS,,Yes,High,,Nominal
NOTE_0401,TT&C,,Yes,High,,Nominal
NOTE_0402,TT&C,,Yes,High,,Nominal
NOTE_0403,EPS,,Yes,High,,Nominal
NOTE_0404,System,,Yes,High,,Nominal
NOTE_0405,System,,Yes,High,,Nominal
NOTE_0406,EPS,,Yes,High,,Nominal
NOTE_0407,TT&C,,Yes,High,,Nominal
NOTE_0408,TT&C,,Yes,High,,Nominal
NOTE_0409,EPS,,Yes,High,,Nominal
NOTE_0410,System,,Yes,High,,Nominal
NOTE_0411,System,,Yes,High,,Nominal
NOTE_0412,EPS,,Yes,High,,Nominal
NOTE_0413,TT&C,,Yes,High,,Nominal
NOTE_0414,TT&C,,Yes,High,,Nominal
NOTE_0415,EPS,,Yes,High,,Nominal
NOTE_0416,System,,Yes,High,,Nominal
NOTE_0417,System,,Yes,High,,Nominal
NOTE_0418,EPS,,Yes,High,,Nominal
NOTE_0419,TT&C,,Yes,High,,Nominal
NOTE_0420,TT&C,,Yes,High,,Nominal
NOTE_0421,EPS,,Yes,High,,Nominal
NOTE_0422,System,,Yes,High,,Nominal
NOTE_0423,System,,Yes,High,,Nominal
NOTE_0424,EPS,,Yes,High,,Nominal
NOTE_0425,TT&C,,Yes,High,,Nominal
NOTE_0426,TT&C,,Yes,High,,Nominal
NOTE_0427,EPS,,Yes,High,,Nominal
NOTE_0428,System,,Yes,High,,Nominal
NOTE_0429,System,,Yes,High,,Nominal
NOTE_0430,EPS,,Yes,High,,Nominal
NOTE_0431,TT&C,,Yes,High,,Nominal
NOTE_0432,TT&C,,Yes,High,,Nominal
NOTE_0433,EPS,,Yes,High,,Nominal
NOTE_0434,System,,Yes,High,,Nominal
NOTE_0435,System,,Yes,High,,Nominal
NOTE_0436,EPS,,Yes,High,,Nominal
NOTE_0437,TT&C,,Yes,High,,Nominal
NOTE_0438,TT&C,,Yes,High,,Nominal
NOTE_0439,EPS,,Yes,High,,Nominal
NOTE_0440,System,,Yes,High,,Nominal
NOTE_0441,System,,Yes,High,,Nominal
NOTE_0442,EPS,,Yes,High,,Nominal
NOTE_0443,TT&C,,Yes,High,,Nominal
NOTE_0444,TT&C,,Yes,High,,Nominal
NOTE_0445,EPS,,Yes,High,,Nominal
NOTE_0446,System,,Yes,High,,Nominal
NOTE_0447,System,,Yes,High,,Nominal
NOTE_0448,EPS,,Yes,High,,Nominal
NOTE_0449,TT&C,,Yes,High,,Nominal
NOTE_0450,TT&C,,Yes,High,,Nominal
NOTE_0451,EPS,,Yes,High,,Nominal
NOTE_0452,System,,Yes,High,,Nominal
NOTE_0453,System,,Yes,High,,Nominal
NOTE_0454,EPS,,Yes,High,,Nominal
NOTE_0455,TT&C,,Yes,High,,Nominal
NOTE_0456,TT&C,,Yes,High,,Nominal
NOTE_0457,EPS,,Yes,High,,Nominal
NOTE_0458,System,,Yes,High,,Nominal
NOTE_0459,System,,Yes,High,,Nominal
NOTE_0460,EPS,,Yes,High,,Nominal
NOTE_0461,TT&C,,Yes,High,,Nominal
NOTE_0462,TT&C,,Yes,High,,Nominal
NOTE_0463,EPS,,Yes,High,,Nominal
NOTE_0464,System,,Yes,High,,Nominal
NOTE_0465,System,,Yes,High,,Nominal
NOTE_0466,EPS,,Yes,High,,Nominal
NOTE_0467,TT&C,,Yes,High,,Nominal
NOTE_0468,TT&C,,Yes,High,,Nominal
NOTE_0469,EPS,,Yes,High,,Nominal
NOTE_0470,System,,Yes,High,,Nominal
NOTE_0471,System,,Yes,High,,Nominal
NOTE_0472,EPS,,Yes,High,,Nominal
NOTE_0473,TT&C,,Yes,High,,Nominal
NOTE_0474,TT&C,,Yes,High,,Nominal
NOTE_0475,EPS,,Yes,High,,Nominal
NOTE_0476,System,,Yes,High,,Nominal
NOTE_0477,System,,Yes,High,,Nominal
NOTE_0478,EPS,,Yes,High,,Nominal
NOTE_0479,TT&C,,Yes,High,,Nominal
NOTE_0480,TT&C,,Yes,High,,Nominal
NOTE_0481,EPS,,Yes,High,,Nominal
NOTE_0482,System,,Yes,High,,Nominal
NOTE_0483,System,,Yes,High,,Nominal
NOTE_0484,EPS,,Yes,High,,Nominal
NOTE_0485,TT&C,,Yes,High,,Nominal
NOTE_0486,TT&C,,Yes,High,,Nominal
NOTE_0487,EPS,,Yes,High,,Nominal
NOTE_0488,System,,Yes,High,,Nominal
NOTE_0489,System,,Yes,High,,Nominal
NOTE_0490,EPS,,Yes,High,,Nominal
NOTE_0491,TT&C,,Yes,High,,Nominal
NOTE_0492,TT&C,,Yes,High,,Nominal
NOTE_0493,EPS,,Yes,High,,Nominal
NOTE_0494,System,,Yes,High,,Nominal
NOTE_0495,System,,Yes,High,,Nominal
NOTE_0496,EPS,,Yes,High,,Nominal
NOTE_0497,TT&C,,Yes,High,,Nominal
NOTE_0498,TT&C,,Yes,High,,Nominal
NOTE_0499,EPS,,Yes,High,,Nominal
NOTE_0500,System,,Yes,High,,Nominal
NOTE_0501,System,,Yes,High,,Nominal
NOTE_0502,EPS,,Yes,High,,Nominal
NOTE_0503,TT&C,,Yes,High,,Nominal
NOTE_0504,TT&C,,Yes,High,,Nominal
NOTE_0505,EPS,,Yes,High,,Nominal
NOTE_0506,System,,Yes,High,,Nominal
NOTE_0507,System,,Yes,High,,Nominal
NOTE_0508,EPS,,Yes,High,,Nominal
NOTE_0509,TT&C,,Yes,High,,Nominal
NOTE_0510,TT&C,,Yes,High,,Nominal
NOTE_0511,EPS,,Yes,High,,Nominal
NOTE_0512,System,,Yes,High,,Nominal
NOTE_0513,System,,Yes,High,,Nominal
NOTE_0514,EPS,,Yes,High,,Nominal
NOTE_0515,TT&C,,Yes,High,,Nominal
NOTE_0516,TT&C,,Yes,High,,Nominal
NOTE_0517,EPS,,Yes,High,,Nominal
NOTE_0518,System,,Yes,High,,Nominal
NOTE_0519,System,,Yes,High,,Nominal
NOTE_0520,EPS,,Yes,High,,Nominal
NOTE_0521,TT&C,,Yes,High,,Nominal
NOTE_0522,TT&C,,Yes,High,,Nominal
NOTE_0523,EPS,,Yes,High,,Nominal
NOTE_0524,System,,Yes,High,,Nominal
NOTE_0525,System,,Yes,High,,Nominal
NOTE_0526,EPS,,Yes,High,,Nominal
NOTE_0527,TT&C,,Yes,High,,Nominal
NOTE_0528,TT&C,,Yes,High,,Nominal
NOTE_0529,EPS,,Yes,High,,Nominal
NOTE_0530,System,,Yes,High,,Nominal
NOTE_0531,System,,Yes,High,,Nominal
NOTE_0532,EPS,,Yes,High,,Nominal
NOTE_0533,TT&C,,Yes,High,,Nominal
NOTE_0534,TT&C,,Yes,High,,Nominal
NOTE_0535,EPS,,Yes,High,,Nominal
NOTE_0536,System,,Yes,High,,Nominal
NOTE_0537,System,,Yes,High,,Nominal
NOTE_0538,EPS,,Yes,High,,Nominal
NOTE_0539,TT&C,,Yes,High,,Nominal
NOTE_0540,TT&C,,Yes,High,,Nominal
NOTE_0541,EPS,,Yes,High,,Nominal
NOTE_0542,System,,Yes,High,,Nominal
NOTE_0543,System,,Yes,High,,Nominal
NOTE_0544,EPS,,Yes,High,,Nominal
NOTE_0545,TT&C,,Yes,High,,Nominal
NOTE_0546,TT&C,,Yes,High,,Nominal
NOTE_0547,EPS,,Yes,High,,Nominal
NOTE_0548,System,,Yes,High,,Nominal
NOTE_0549,System,,Yes,High,,Nominal
NOTE_0550,EPS,,Yes,High,,Nominal
NOTE_0551,TT&C,,Yes,High,,Nominal
NOTE_0552,TT&C,,Yes,High,,Nominal
NOTE_0553,EPS,,Yes,High,,Nominal
NOTE_0554,System,,Yes,High,,Nominal
NOTE_0555,System,,Yes,High,,Nominal
NOTE_0556,EPS,,Yes,High,,Nominal
NOTE_0557,TT&C,,Yes,High,,Nominal
NOTE_0558,TT&C,,Yes,High,,Nominal
NOTE_0559,EPS,,Yes,High,,Nominal
NOTE_0560,System,,Yes,High,,Nominal
NOTE_0561,System,,Yes,High,,Nominal
NOTE_0562,EPS,,Yes,High,,Nominal
NOTE_0563,TT&C,,Yes,High,,Nominal
NOTE_0564,TT&C,,Yes,High,,Nominal
NOTE_0565,EPS,,Yes,High,,Nominal
