mission_id,timestamp,orbit_number,type,id,description
M01,2026-07-02T15:00:00Z,24,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T15:07:00Z,24,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T15:17:00Z,24,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T15:36:00Z,25,EVENT,orbit_start,Start of Orbit 25
M01,2026-07-02T15:56:00Z,25,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T16:11:00Z,25,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T16:39:00Z,25,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T16:46:00Z,25,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T16:56:00Z,25,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T17:15:00Z,26,EVENT,orbit_start,Start of Orbit 26
M01,2026-07-02T17:35:00Z,26,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T17:50:00Z,26,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T18:18:00Z,26,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T18:25:00Z,26,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T18:35:00Z,26,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T18:54:00Z,27,EVENT,orbit_start,Start of Orbit 27
M01,2026-07-02T19:14:00Z,27,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T19:29:00Z,27,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T19:57:00Z,27,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T20:04:00Z,27,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T20:14:00Z,27,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T20:33:00Z,28,EVENT,orbit_start,Start of Orbit 28
M01,2026-07-02T20:53:00Z,28,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T21:08:00Z,28,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T21:36:00Z,28,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T21:43:00Z,28,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T21:53:00Z,28,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T22:12:00Z,29,EVENT,orbit_start,Start of Orbit 29
M01,2026-07-02T22:32:00Z,29,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T22:47:00Z,29,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T23:15:00Z,29,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T23:22:00Z,29,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T23:32:00Z,29,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T23:51:00Z,30,EVENT,orbit_start,Start of Orbit 30
M01,2026-07-03T00:11:00Z,30,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T00:26:00Z,30,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T00:54:00Z,30,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T01:01:00Z,30,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T01:11:00Z,30,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T01:30:00Z,31,EVENT,orbit_start,Start of Orbit 31
M01,2026-07-03T01:50:00Z,31,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T02:05:00Z,31,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T02:33:00Z,31,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T02:40:00Z,31,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T02:50:00Z,31,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T03:09:00Z,32,EVENT,orbit_start,Start of Orbit 32
M01,2026-07-03T03:29:00Z,32,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T03:44:00Z,32,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T04:12:00Z,32,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T04:19:00Z,32,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T04:29:00Z,32,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T04:48:00Z,33,EVENT,orbit_start,Start of Orbit 33
M01,2026-07-03T05:08:00Z,33,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T05:23:00Z,33,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T05:51:00Z,33,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T05:58:00Z,33,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T06:08:00Z,33,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T06:27:00Z,34,EVENT,orbit_start,Start of Orbit 34
M01,2026-07-03T06:47:00Z,34,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T07:02:00Z,34,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T07:30:00Z,34,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T07:37:00Z,34,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T07:47:00Z,34,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T08:06:00Z,35,EVENT,orbit_start,Start of Orbit 35
M01,2026-07-03T08:26:00Z,35,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T08:41:00Z,35,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T09:09:00Z,35,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T09:16:00Z,35,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T09:26:00Z,35,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T09:45:00Z,36,EVENT,orbit_start,Start of Orbit 36
M01,2026-07-03T10:05:00Z,36,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T10:20:00Z,36,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T10:48:00Z,36,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T10:55:00Z,36,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T11:05:00Z,36,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T11:24:00Z,37,EVENT,orbit_start,Start of Orbit 37
M01,2026-07-03T11:44:00Z,37,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T11:59:00Z,37,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T12:27:00Z,37,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T12:34:00Z,37,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T12:44:00Z,37,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T13:03:00Z,38,EVENT,orbit_start,Start of Orbit 38
M01,2026-07-03T13:23:00Z,38,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T13:38:00Z,38,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T14:06:00Z,38,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T14:13:00Z,38,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T14:23:00Z,38,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T14:42:00Z,39,EVENT,orbit_start,Start of Orbit 39
M01,2026-07-03T15:02:00Z,39,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T15:17:00Z,39,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T15:45:00Z,39,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T15:52:00Z,39,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T16:02:00Z,39,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T16:21:00Z,40,EVENT,orbit_start,Start of Orbit 40
M01,2026-07-03T16:41:00Z,40,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T16:56:00Z,40,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T17:24:00Z,40,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T17:31:00Z,40,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T17:41:00Z,40,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T18:00:00Z,41,EVENT,orbit_start,Start of Orbit 41
M01,2026-07-03T18:20:00Z,41,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T18:35:00Z,41,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T19:03:00Z,41,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T19:10:00Z,41,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T19:20:00Z,41,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T19:39:00Z,42,EVENT,orbit_start,Start of Orbit 42
M01,2026-07-03T19:59:00Z,42,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T20:14:00Z,42,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T20:42:00Z,42,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T20:49:00Z,42,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T20:59:00Z,42,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T21:18:00Z,43,EVENT,orbit_start,Start of Orbit 43
M01,2026-07-03T21:38:00Z,43,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T21:53:00Z,43,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-03T22:21:00Z,43,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-03T22:28:00Z,43,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-03T22:38:00Z,43,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-03T22:57:00Z,44,EVENT,orbit_start,Start of Orbit 44
M01,2026-07-03T23:17:00Z,44,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-03T23:32:00Z,44,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-04T00:00:00Z,44,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-04T00:07:00Z,44,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-04T00:17:00Z,44,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-04T00:36:00Z,45,EVENT,orbit_start,Start of Orbit 45
M01,2026-07-04T00:56:00Z,45,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-04T01:11:00Z,45,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-04T01:39:00Z,45,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-04T01:46:00Z,45,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-04T01:56:00Z,45,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-04T02:15:00Z,46,EVENT,orbit_start,Start of Orbit 46
M01,2026-07-04T02:35:00Z,46,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-04T02:50:00Z,46,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-04T03:18:00Z,46,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-04T03:25:00Z,46,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-04T03:35:00Z,46,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-04T03:54:00Z,47,EVENT,orbit_start,Start of Orbit 47
M01,2026-07-04T04:14:00Z,47,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-04T04:29:00Z,47,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-04T04:57:00Z,47,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-04T05:04:00Z,47,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-04T05:14:00Z,47,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-04T05:33:00Z,48,EVENT,orbit_start,Start of Orbit 48
M01,2026-07-04T05:53:00Z,48,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-04T06:08:00Z,48,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-04T06:36:00Z,48,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-04T06:43:00Z,48,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-04T06:53:00Z,48,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-04T07:12:00Z,49,EVENT,orbit_start,Start of Orbit 49
M01,2026-07-04T07:32:00Z,49,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-04T07:47:00Z,49,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-04T08:15:00Z,49,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-04T08:22:00Z,49,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-04T08:32:00Z,49,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-04T08:51:00Z,50,EVENT,orbit_start,Start of Orbit 50
M01,2026-07-04T09:11:00Z,50,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-04T09:26:00Z,50,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-04T09:54:00Z,50,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-04T10:01:00Z,50,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-04T10:11:00Z,50,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
